Name,Birthdate,Deathdate,Notes,Sex,Viaf_id,Birthplace,Deathplace,Occupation
Jean Desbordes,1906-05-03,1944-07-06,,Male,24643915,"Rupt-sur-Moselle, France","Paris, France",Actor
Elena Vacarescu,1864-09-21,1947-02-17,,Female,89520833,"Bucharest, Romania","Paris, France",Writer
Valentine Hugo,1887-03-16,1968-03-16,,Female,68930456,"Boulogne-sur-Mer, France","Paris, France",Artist
Anna de Noailles,1876-11-15,1933-04-30,,Female,95303465,"Paris, France","Paris, France",Writer
Carlos Caro Potestad,,1973-02-06,,Male,,,"Biarritz, France",Diplomat
Albert Kahn,1860-03-03,1940-11-14,,Male,27073338,"Bas-Rhin, France","Hauts-de-Seine, France","Banker, Philanthropist"
Guy de Maupassant,1850-08-05,1893-07-06,,Male,29537765,"Tourville-sur-Arques, France","Paris, France",Writer
Otto Kahn,1867-02-21,1934-03-29,,Male,,"Mannheim, Germany","New York City, New York","Banker, Philanthropist"
Alexander von Wuthenau,1900-01-08,1905-06-16,,Male,30053241,"Dresden-Neustadt, Germany",,"Ethnologist, Archaeologist"
Baba de Faucigny-Lucinge,1902-10-10,1945-12-21,,Female,316441599,"London, United Kingdom","Cannes, France",Model
Fani (Estefanía),,,Victoria Ocampo's servant,Female,,,,Writer
Jiddu Krishnamurti,1895-05-11,1986-02-17,,Male,105950421,"Madanapalle, India","Ojai, California","Philosopher, Speaker, Writer"
Rosalind Edith Rajagopal,1903-06-20,1905-06-18,,Female,,"Buffalo, New York","Ojai, California","School Director, Writer"
Ava Lowle Willing (Lady Ribblesdale),1868-09-15,1958-06-09,,Female,40909247,"Philadelphia, Pennsylvania","Manhattan, New York City, New York",Socialite
Thomas Lister (Lord Ribblesdale),1854-10-29,1925-10-21,,Male,39748158,"Fontainebleau, France","Grosvenor Square, London, United Kingdom",Politician
Paul Chadourne,,,Surrealist poet,Male,7605783,"Paris, France",,Poet
Gisèle Freund,1908-12-19,2000-03-30,,Female,56609984,"Schöneberg, Germany","Paris, France","Photographer, Photojournalist"
Yvette Billod-Cottier,1914-04-16,2008-12-22,first wife of Roger Caillois,Female,,"Nantes, France","Ile-de-France, France",Teacher
Enrique Amorim,1900-07-25,1960-07-28,,Male,41856621,"Salto, Uruguay","Buenos Aires, Argentina","Novelist, Writer"
Claudio Arrau,1903-02-06,1991-06-09,,Male,61730908,"Chillán, Chile","Mürzzuschlag, Austria",Pianist
Spruille Braden,1894-03-13,1978-01-10,,Male,91269805,"Elkhorn, Montana","Los Angeles, California","Diplomat, Businessman, Lobbyist"
Wladimir d'Ormesson,1888-08-02,1973-09-15,,Male,22277844,"Saint Petersburg, Russia","Ormesson-sur-Marne, France","Essayist, Novelist, Journalist, Diplomat"
William Walton,1902-03-29,1983-03-08,,Male,104009466,"Lancashire, England","Ischia, Italy",Composer
Matthew Huxley,1920-04-19,2005-02-10,,Male,33644601,"London, United Kingdom","Reading, Pennsylvania",Epidemiologist
José (Pepe) Weissberger,1878-04-08,1905-05-07,,Male,,"Brno, Czech Republic","Zurich, Switzerland",Painter
Daan Bolten,,,,,,,,Writer
Federico de Onís,1885-12-20,1966-10-14,,Male,73865544,"Salamanca, Spain","San Juan, Puerto Rico","Professor, Philologist, Literary Critic, Hispanist"
Harriet de Onís,1905-03-09,1905-05-22,principal translator for Knopf,Female,46823286,"New York City, New York",,Translator
Christian Murciaux,1915-03-15,1905-05-25,,Male,119997355,,,Writer
Marguerite Yourcenar,1903-06-08,1987-12-17,,Female,105154898,"Brussels, Belgium","Northeast Harbor, Maine","Novelist, Essayist"
Jawaharlal Nehru,1889-11-14,1964-05-27,First prime minister of India,Male,49252619,"Allahabad, India","New Delhi, India","Prime Minister, Politician"
Sebastián Soler,1899-06-30,1980-09-12,,Male,47788812,"Barcelona, Spain","Buenos Aires, Argentina","Professor, Jurist"
Doris Dana,1905-04-03,2006-11-28,,Female,9460013,"New York City, New York","Naples, Florida",Translator
Sylvia Marlowe,1908-09-26,1981-12-11,,Female,255300055,"New York City, New York","New York City, New York",Harpsichordist
Vera de Bosset Stravinsky,1889-01-06,1982-09-17,,Female,94863068,Russia,"Manhattan, New York City, New York","Dancer, Artist"
Robert Craft,1923-10-20,2015-11-10,,Male,91308575,"Kingston, New York","Gulf Stream, Florida","Conductor, Writer"
Valborg Anderson,1905-03-25,1990-02-14,,Female,77759937,,"Colton, Oregon",Professor
Ned O'Gorman,1929-09-26,2014-03-07,,Male,108719037,"Manhattan, New York City, New York","Manhattan, New York City, New York","Poet, Educator"
Josephine Porter Crane,1873-11-14,1972-07-08,MoMa board member,Female,31928822,"Cleveland, Ohio","Falmouth, Massachusetts","Socialite, Patron, Board Member"
Tennessee Williams,1911-03-26,1983-02-25,,Male,51697407,"Columbus, Mississippi","New York City, New York",Playwright
Marianne Moore,1887-11-15,1972-02-05,,Female,61562401,"Kirkwood, Missouri","Manhattan, New York City, New York","Poet, Critic, Translator, Editor"
Monroe Wheeler,1905-03-13,1988-08-14,MoMa board member (and staff member of MoMa),Male,40395988,"Evanston, Illinois","New York City, New York","Board Member, Publisher"
Adlai Stevenson II,1900-02-05,1965-07-14,,Male,54944639,"Los Angeles, California","London, United Kingdom","Lawyer, Politician, Diplomat"
Nelson Rockefeller,1908-07-08,1979-01-26,,Male,9919239,"Bar Harbor, Maine","New York City, New York","Businessman, Politician"
Katherine Garrison Chapin Biddle,1890-09-04,1977-12-30,wife of Attorney General Francis Biddle,Female,45634544,"Waterford, Connecticut","Devon, Pennsylvania",Poet
Mario Amadeo,1911-01-11,1983-03-19,,Male,310570143,Argentina,"Buenos Aires, Argentina","Politician, Diplomat, Writer"
Álvaro Alsogaray,1913-06-22,2005-04-01,,Male,197240782,"Esperanza, Argentina","Buenos Aires, Argentina","Politician, Businessman"
Alberto de Zavalía,1911-05-04,1988-05-07,,Male,16349881,"Buenos Aires, Argentina","Buenos Aires, Argentina","Film Director, Film Producer"
Francine Faure Camus,1914-12-06,1979-12-24,,Female,,"Oran, Algeria","Lourmarin, France","Pianist, Mathematician"
Pierre Cot,1895-11-20,1977-08-21,,Male,68937637,France,"Coise-Saint-Jean-Pied-Gauthier, France",Politician
Alejandra de Kent,1936-12-25,,,Female,186930560,"Belgrave Square, London, United Kingdom",,Writer
Jacqueline Kennedy Onassis,1929-07-28,1994-05-19,,Female,117604909,"Southhampton, New York","Manhattan, New York City, New York",Socialite
Mary Garden,1874-02-20,1967-01-03,Opera Singer - Soprano,Female,22228088,"Aberdeen, United Kingdom","Aberdeen, United Kingdom",Singer
Maurice Rostand,1891-05-26,1968-02-21,,Male,56696044,"Paris, France","Ville-d'Avray, France","Author, Poet, Novelist, Playwright"
Jean Rostand,1894-10-30,1977-09-04,,Male,7396528,"Paris, France","Ville-d'Avray, France","Biologist, Philosopher"
Frédéric Grover,1920-06-25,2008-01-29,,Male,49226424,"Paris, France","Vancouver, Canada","Writer, Author"
Ricardo Mosquera Eastman,1918-10-18,1982-07-01,,Male,309819678,"Buenos Aires, Argentina",,"Writer, Critic, Diplomat"
Germaine Sanderson,,,Victoria Ocampo's piano and voice teacher; soprano,Female,,,,"Pianist, Singer"
Soledad Ortega Spottorno,1905-03-28,2007-11-19,Daughter of Ortega y Gasset,Female,91554268,"Madrid, Spain","Madrid, Spain",Writer
Marilyn Monroe,1926-06-01,1962-08-05,,Female,27069077,"Los Angeles, California","Brentwood, California","Actress, Model, Singer"
A. W. Lawrence,1900-05-02,1991-03-31,,Male,97991219,"Oxford, United Kingdom","Devizes, United Kingdom",Professor
Maria Nys (Huxley),1899-09-10,1955-02-12,,Female,282951015,Belgium,,Writer
Dorothy Norman,1905-03-28,1997-04-12,,Female,109835051,"Philadelphia, Pennsylvania","East Hampton, New York","Photographer, Writer, Editor, Patron"
Mildred Barnes Bliss,1879-09-09,1969-01-17,Co-founder of Dumbarton Oaks,Female,69198540,"New York City, New York","Washington, D.C.","Collector, Philanthropist"
Marie-Madeleine Lioux (Malraux),1914-04-07,2014-01-08,,Female,63063719,"Toulouse, France","Paris, France",Pianist
Lino Novás Calvo,1903-09-24,1983-03-24,,Male,71558623, ,"New York City, New York","Novelist, Translator"
Alberto Jiménez Fraud,1883-02-04,1964-04-23,"First director of the ""Residencia de Estudiantes""",Male,53095287,"Málaga, Spain","Geneva, Switzerland","Professor, Director, Translator"
Antonio Marichalar,1893-09-03,1973-08-06,,Male,54283837,"Logroño, Spain","Madrid, Spain","Historian, Literary Critic, Translator"
Alain Malraux,1944-06-11,,son of Madeleine Malraux ,Male,34578454,"Domme, France",,Writer
Suzanne Tézanas,1905-03-12,1905-06-13,Organizer of the sponsorship that enabled Boulez to found the Petit Marigny concerts in 1953; President of the Domaine Musical,Female,,,,"Organizer, President"
Pierre Luis Joseph Boulez,1925-03-26,2016-01-05,Organizr of the Domaine Musical,Male,108239968,"Montbrison, France","Baden-Baden, Germany","Composer, Conductor, Writer, Organizer"
Jean-Louis Barrault,1910-09-08,1994-01-22,,Male,7386576,"Le Vésinet, France","Paris, France","Actor, Director, Mime Artist"
Madeleine Renaud,1900-02-21,1994-09-23,,Female,51718988,"Paris, France","Neuilly-sur-Seine, France",Actress
Lady Ottoline Morrell,1873-06-16,1938-04-21,"close friend of Aldous Huxley, T. S. Eliot, D. H. Lawrence",Female,61644557,"Royal Tunbridge Wells, United Kingdom","London, United Kingdom","Aristocrat, Socialite, Patron"
Jean Renoir,1894-09-15,1979-02-12,,Male,104724700,"Montmartre, Paris, France","Beverly Hills, California","Film Director, Screenwriter, Actor, Producer, Author"
Miguel Ocampo,1922-11-29,2015-11-24,,Male,96554997,"Buenos Aires, Argentina","La Cumbre, Córdoba, Argentina",Painter
René Étiemble,1909-01-26,2002-01-07,,Male,22141482,"Mayenne, France","Vigny, Val-d'Oise, France","Essayist, Writer"
Saint-John Perse (Alexis Léger),1887-05-31,1975-09-20,Nobel Prize in Literature (1960),Male,88804613,"Point-à-Pitre, Guadeloupe","Giens Peninsula, Hyères, France","Poet, Diplomat"
John F. Kennedy,1917-05-29,1963-11-22,,Male,68910251,"Brookline, Massachusetts","Dallas, Texas","President, Statesman"
Henry Fonda,1905-05-16,1982-08-12,,Male,112378001,"Grand Island, Nebraska","Los Angeles, California",Actor
Herschel Brickell,1889-09-13,1952-05-29,,Male,75223922,"Senatobia, Mississippi","Branchville, Connecticut","Editor, Writer, Literary Critic"
Francisco González Ledesma,1927-03-17,2015-03-02,,Male,119934250,"Barcelona, Spain","Barcelona, Spain","Comic Writer, Novelist, Lawyer, Journalist"
Umberto Cianciolo,1905-03-28,1905-05-22,,Male,88910410,"Rome, Italy",,"Translator, Literary Critic, Historian, Professor"
Jean Cassou,1897-06-09,1986-01-19,First Director of the Musée National d'Art Moderne in Paris,Male,121657958,"Deusto, Spain","Paris, France","Writer, Art Critic, Poet, Director"
Jean Guéhenno,1890-03-25,1978-09-22,,Male,49226476,"Fougères, France","Paris, France","Essayist, Writer, Literary Critic"
Jean Bataillon,1895-05-20,1977-06-04,,Male,,"Dijon, France","Paris, France","Hispanist, Professor"
Louis Pasteur Vallery-Radot,1886-05-13,1970-10-09,,Male,2548154,"Paris, France","Paris, France","Physician, Biographer, Professor"
François Perroux,1903-12-19,1987-06-02,,Male,99952938,"Saint-Romain-en-Gal, France","Seine-Saint-Denis, France","Economist, Professor"
Antonio López Llausás,1905-03-02,1905-06-01,,Male,170716796,"Barcelona, Spain","Buenos Aires, Argentina",Editor
Eugenia Huici de Errázuriz,1860-09-15,1905-05-04,paved the way for Coco Chanel!,Female,66649364,"Valparaíso, Chile","Santiago, Chile","Patron, Style Leader"
Paul Cesar Helleu,1859-12-17,1927-03-23,,Male,14851547,"Vannes, Brittany","Paris, France",Painter
Yvonne de Gaulle,1900-05-22,1979-11-08,,Female,8194049,"Calais, France","Paris, France",Writer
Charles de Gaulle,1890-11-22,1970-11-09,former president of France,Male,27064969,"Lille, France","Colombey-les-Deux-Églises, France","General, Statesman, President"
Moura Budberg,1905-03-06,1905-05-27,,Female,73989566,"Poltava, Ukraine",Italy,Baroness
Louis Malle,1932-10-30,1995-11-23,,Male,109999709,"Thumeries, France","Beverly Hills, California","Film Director, Screenwriter, Producer"
John Guest,1911-10-04,1997-08-24,editor at Longmans Green (London publisher),Male,46727750,"Warrington, Cheshire, United Kingdom","London, United Kingdom",Editor
Quentin Bell,1910-08-19,1996-12-16,,Male,4926523,"London, United Kingdom","Sussex, United Kingdom","Art Historian, Author"
Ernesto Garzón Valdés,1927-02-17,,,Male,12944765,"Córdoba, Argentina",,Philosopher
Yvonne Cloetta,1923-01-17,2001-11-03,Graham Greene's mistress,Female,20759097,"Pontrieux, France","Cannes, France",Mistress
Eugen Millington Drake,1889-02-26,1972-12-12,,Male,48223228,,"Paris, France",Diplomat
René Maheu,1905-03-28,1975-12-19,,Male,202339013,"Saint-Gaudens, Haute-Garonne, France","Paris, France",Professor
Sylvia Molloy,1938-08-19,,,Female,265662911,"Buenos Aires, Argentina",,"Professor, Artist"
Nora Grégor,1901-02-03,1949-01-20,,Female,29732362,"Gorizia, Italy","Viña del Mar, Chile",Actress
Elena Garro (Paz),1916-12-11,1998-08-22,,Female,22171519,"Puebla, Mexico","Cuernavaca, Mexico",Writer
Leonard Elmhirst,1893-06-06,1974-04-16,worked extensively with Tagore (and in India),Male,59920590,"Worsbrough, United Kingdom","Beverly Hills, California","Philanthropist, Agronomist"
Dionisio Ridruejo,1912-10-12,1975-06-29,,Male,73868629,"Burgo de Osma-Ciudad de Osma, Spain","Madrid, Spain","Poet, Political Figure"
Gabriel Marcel,1889-12-07,1973-10-08,,Male,14773302,"Paris, France","Paris, France","Philosopher, Playwright, Music Critic, Existentialist"
Mahatma Gandhi,1869-10-02,1948-01-30,,Male,71391324,"Porbandar, India","New Delhi, India",Civil Rights Leader
Marcelle Meyer,1897-05-22,1957-11-17,,Female,44485837,"Lille, France","Paris, France",Pianist
Louis Pauwels,1920-08-02,1997-01-28,,Male,68934008,"Ghent, Belgium","Suresnes, France","Journalist, Writer"
T. S. Eliot,1888-09-26,1965-01-04,,Male,56609282,"St. Louis, Missouri","Kensington, London, United Kingdom","Essayist, Publisher, Playwright, Literary Critic, Poet"
Patricio Gannon,1905-03-15,1977-03-17,,Male,315641120,"Buenos Aires, Argentina","Buenos Aires, Argentina","Writer, Journalist, Cattleman"
David Carver,1903-08-10,1978-04-29,President of PEN International (1951-1974); Secretary General of PEN international,Male,166165131,,,"Secretary, President"
Mildred Adams Kenyon,1905-03-08,1980-11-05,,Female,7469644,,"New York City, New York","Journalist, Writer, Translator, Critic"
Herbert Matthews,1900-01-10,1977-07-30,,Male,18384596,"New York City, New York","Adelaide, Australia","Reporter, Editorialist"
Leni Riefenstahl,1902-08-22,2003-09-08,,Female,44304468,"Berlin, Germany","Pöcking, Germany","Film Director, Producer, Screenwriter, Editor, Photographer, Actress, Dancer"
Norah Lange,1905-10-23,1972-08-05,,Female,97987063,"Buenos Aires, Argentina","Buenos Aires, Argentina","Poet, Author"
Stephen Spender,1909-02-28,1995-07-16,,Male,39398656,"Kensington, London, United Kingdom","Westminster, United Kingdom","Poet, Novelist, Essayist"
W. H. Auden,1907-02-21,1973-09-29,,Male,2465832,"York, United Kingdom","Vienna, Austria",Poet
Christopher Isherwood,1904-08-26,1986-01-04,,Male,76317308,"Wyberslegh Hall, United Kingdom","Santa Monica, California",Novelist
Georges Bernanos,1888-02-20,1948-07-05,,Male,44295297,"Paris, France","Neuilly-sur-Seine, France","Author, Translator, Writer"
Simone de Beavoir,1908-01-09,1986-04-14,,Female,2466221,"Paris, France","Paris, France","Writer, Intellectual, Philosopher, Political Activist, Feminist, Social Theorist"
Georgia O'Keeffee,1887-11-15,1986-03-06,,Female,32021794,"Sun Prairie, Wisconsin","Santa Fe, New Mexico",Artist
Lino Spilimbergo,1896-08-12,1964-03-16,,Male,13362903,"Buenos Aires, Argentina","Unquillo, Argentina","Artist, Engraver"
Víctor Delhez,1905-03-16,1905-06-07,,Male,69108176,"Antwerp, Belgium","Mendoza, Argentina",Artist
John Marin,1870-12-23,1953-10-01,,Male,74649315,"Rutherford, New Jersey","Addison, Maine",Artist
Diego Rivera,1886-12-08,1957-11-24,,Male,59099198,"Guanajuato, Mexico","Mexico City, Mexico","Painter, Artist"
Norman Mailer,1923-01-31,2007-11-10,,Male,7393743,"Long Branch, New Jersey","New York City, New York","Novelist, Journalist, Essayist, Playwright, Filmmaker, Actor, Political Activist"
Caroline Gordon,1895-10-06,1981-04-11,,Female,111626048,"Todd County, Kentucky","San Cristóbal de las Casas, Mexico","Novelist, Literary Critic"
María Lejárraga (María Martínez Sierra),1874-12-28,1974-06-28,,Female,93150576,"San Millán de la Cogolla, Spain","Buenos Aires, Argentina","Feminist, Writer, Dramatist, Translator, Politician"
Frederic Wakeman,1937-12-12,2006-09-14,,Male,56654313,"Kansas City, Kansas","Lake Oswego, Oregon","Writer, Scholar"
Aurora Bernárdez,1920-02-23,2014-11-08,,Female,59213158,"Buenos Aires, Argentina","Paris, France","Writer, Translator"
Pedro Lecuona (Pedro Ibarzabal),1897-01-12,1955-08-24,,Male,58833538,"Elgoibar, Gipuzkoa, Spain","Buenos Aires, Argentina","Writer, Diplomat, Translator"
Samuel Eichelbaum,1894-11-14,1967-05-04,,Male,97791518,"Villa Domínguez, Argentina","Buenos Aires, Argentina",Writer
Denis de Rougemont,1906-09-08,1985-12-06,,Male,49230943,"Couvet, Switzerland","Geneva, Switzerland","Writer, Cultural Theorist"
Arthur Stanley Eddington,1882-12-28,1944-11-22,,Male,24675918,"Kendal, United Kingdom","Cambridge, United Kingdom","Astronomer, Physicist, Mathematician"
Robert Aron,1898-05-25,1975-04-19,,Male,51685013,"Le Vésinet, France","Paris, France","Historian, Writer"
Alfredo de la Guardia,1905-03-13,1905-05-27,,Male,9788592,"Madrid, Spain","Buenos Aires, Argentina","Writer, Intellectual, Critic"
Vicente Barbieri,1903-08-31,1956-09-10,,Male,68941999,"Alberti, Buenos Aires, Argentina","Buenos Aires, Argentina",Poet
Herbert George Wells,1866-09-21,1946-08-13,,Male,97006424,"Bromley, United Kingdom","Regent's Park, London, United Kingdom",Writer
Manuel Peyrou,1902-05-23,1974-01-01,,Male,66759591,"San Nicolás de los Arroyos, Argentina","Buenos Aires, Argentina","Writer, Journalist"
Charles Baudelaire,1821-04-09,1867-08-31,,Male,17218730,"Paris, France","Paris, France","Poet, Essayist, Critic, Translator"
Gérard de Nerval (Gérard Labrunie),1808-05-22,1855-01-26,,Male,24596532,"Paris, France","Paris, France","Writer, Poet, Essayist, Translator"
Cyril Connolly,1903-09-10,1974-11-26,,Male,22140262,"Coventry, United Kingdom","London, United Kingdom","Literary Critic, Writer"
George Orwell,1903-06-25,1950-01-21,,Male,95155403,"Motihari, India","London, United Kingdom","Novelist, Essayist, Journalist, Critic"
Juan Rodolfo Wilcock,1919-04-17,1978-03-16,,Male,111636439,"Buenos Aires, Argentina","Lubriano, Italy","Writer, Poet, Critic, Translator"
José María Coco Ferraris,,,,Male,23158856,,,Translator
Ricardo Molinari,1898-03-23,1996-07-31,,Male,,"Buenos Aires, Argentina","Buenos Aires, Argentina",Poet
Susan Sontag,1933-01-16,2004-12-28,,Female,,"New York City, New York","New York City, New York","Writer, Filmmaker, Teacher, Political Activist"
Benoite Groult,1920-01-31,2016-06-20,,Female,,"Paris, France","Hyères, France","Journalist, Writer, Feminist, Activist"
George Balanchine,1904-01-22,1983-04-30,Co-founded the New York City Ballet,Male,,"Saint Petersburg, Russia","Manhattan, New York City, New York",Choreographer
Françoise Giroud,1916-09-21,2003-01-19,,Female,,"Lausanne, Switzerland","Neuilly-sur-Seine, France","Journalist, Screenwriter, Writer, Politician"
Edguardo Cozarinsky,1939-01-13,,,Male,,"Buenos Aires, Argentina",,"Writer, Filmmaker"
Henry Allen Moe,1894-07-02,1975-10-01,Administrator of the Guggenheim Memorial Foundation from its founding in 1925 to his retirement in 1963,Male,,,"New York City, New York","Director, Philanthropist"
Sylvia Beach,,,,Female,,"Baltimore, Maryland","Paris, France","Patron, Bookseller"
Manuel S. Ocampo,,,,Male,,,,Writer
Adrienne Monnier,,,,,,,,"Bookseller, Writer, Publisher"